Country_Code,Country,Year,Crop_Production_Index,Forest_Area_PctLand,GHG_Emissions_MtCO2e
IDN,Indonesia,1961,16.93,,
IDN,Indonesia,1962,18.31,,
IDN,Indonesia,1963,17.38,,
IDN,Indonesia,1964,18.43,,
IDN,Indonesia,1965,18.18,,
IDN,Indonesia,1966,18.73,,
IDN,Indonesia,1967,17.97,,
IDN,Indonesia,1968,20.75,,
IDN,Indonesia,1969,21.04,,
IDN,Indonesia,1970,22.22,,135.0523
IDN,Indonesia,1971,22.82,,137.8708
IDN,Indonesia,1972,22.71,,147.9684
IDN,Indonesia,1973,24.61,,161.8393
IDN,Indonesia,1974,25.62,,169.3313
IDN,Indonesia,1975,25.16,,170.1356
IDN,Indonesia,1976,25.08,,180.2496
IDN,Indonesia,1977,26.09,,206.4891
IDN,Indonesia,1978,27.92,,222.5825
IDN,Indonesia,1979,29.16,,230.0343
IDN,Indonesia,1980,31.41,,235.1234
IDN,Indonesia,1981,33.74,,244.9484
IDN,Indonesia,1982,33.0,,238.908
IDN,Indonesia,1983,35.47,,247.3259
IDN,Indonesia,1984,38.55,,258.9871
IDN,Indonesia,1985,39.32,,266.9892
IDN,Indonesia,1986,41.33,,284.1102
IDN,Indonesia,1987,41.81,,286.9611
IDN,Indonesia,1988,44.26,,299.4817
IDN,Indonesia,1989,46.35,,311.6564
IDN,Indonesia,1990,47.83,65.43771424786236,338.0413
IDN,Indonesia,1991,49.25,64.48467351523817,358.7657
IDN,Indonesia,1992,52.79,63.531632782613976,377.0025
IDN,Indonesia,1993,53.4,62.57859204998979,395.7266
IDN,Indonesia,1994,53.3,61.6255513173656,415.0115
IDN,Indonesia,1995,58.73,60.67251058474141,445.0828
IDN,Indonesia,1996,59.86,59.71946985211722,469.8354
IDN,Indonesia,1997,57.03,58.76642911949303,495.0321
IDN,Indonesia,1998,58.5,57.81338838686885,493.6591
IDN,Indonesia,1999,59.7,56.860347654244656,506.8224
IDN,Indonesia,2000,61.34,53.94352866735304,513.0698
IDN,Indonesia,2001,62.33,53.85720197771634,536.2554
IDN,Indonesia,2002,65.49,53.77087528807965,543.4418
IDN,Indonesia,2003,70.06,53.68454859844295,573.261
IDN,Indonesia,2004,73.48,53.59822190880625,585.3283
IDN,Indonesia,2005,76.85,53.51189521916956,593.1621
IDN,Indonesia,2006,79.15,53.42556852953285,626.634
IDN,Indonesia,2007,79.61,53.33924183989616,650.3157
IDN,Indonesia,2008,84.3,53.25291515025946,653.1794
IDN,Indonesia,2009,86.83,53.16658846062276,685.3767
IDN,Indonesia,2010,92.62,53.08026177098607,722.9382
IDN,Indonesia,2011,94.46,52.58691922691595,822.6221
IDN,Indonesia,2012,99.52,52.09357668284582,842.7423
IDN,Indonesia,2013,100.34,51.60023413877569,808.4225
IDN,Indonesia,2014,99.7,51.10689159470556,851.9192
IDN,Indonesia,2015,101.32,50.61354905063544,853.1222
IDN,Indonesia,2016,98.98,50.74345452695819,851.5311
IDN,Indonesia,2017,108.58,50.039333822986606,905.8894
IDN,Indonesia,2018,112.99,49.71681777920756,1002.7634
IDN,Indonesia,2019,107.87,49.39429640925072,1062.2685
IDN,Indonesia,2020,108.22,49.07178036547167,1007.1478
IDN,Indonesia,2021,108.64,48.36194486812056,1037.2806
IDN,Indonesia,2022,111.41,48.0419900717626,1181.2992
IDN,Indonesia,2023,,47.72203369024635,1261.3223
IDN,Indonesia,2024,,,1323.7779
MYS,Malaysia,1961,17.21,,
MYS,Malaysia,1962,17.39,,
MYS,Malaysia,1963,18.22,,
MYS,Malaysia,1964,18.33,,
MYS,Malaysia,1965,19.78,,
MYS,Malaysia,1966,20.12,,
MYS,Malaysia,1967,20.65,,
MYS,Malaysia,1968,23.3,,
MYS,Malaysia,1969,26.03,,
MYS,Malaysia,1970,27.15,,36.9379
MYS,Malaysia,1971,28.43,,37.5745
MYS,Malaysia,1972,29.0,,24.9022
